file	role	thai	english
index.html	a.skip	ข้ามไปยังเนื้อหา	Skip to content
index.html	i	โรงย่างเนื้อ · เขาใหญ่	โรงย่างเนื้อ · Khao Yai
index.html	a	เมนู	Menu
index.html	a	เตาไฟ	The Fire
index.html	a	มาหาเรา	Visit
index.html	a.btn.nav__cta	เส้นทาง	Directions
index.html	span	เมนู	Menu
index.html	span	เตาไฟ	The Fire
index.html	span	มาหาเรา	Visit
index.html	span	เส้นทาง	Directions
index.html	dt	จากเคาน์เตอร์	From the counter
index.html	dt	วิธีปรุง	Method
index.html	dd	ถ่านและไฟ	Charcoal and fire
index.html	dt	ปิด	Closed
index.html	dd	ทุกวันพุธ	Every Wednesday
index.html	span	โรงย่างเนื้อ — ปากช่อง เขาใหญ่	Rabbit Grill — Pak Chong, Khao Yai
index.html	h1.dsp.dsp--xl.lines	<span><span>ให้<span class='fire'>ไฟ</span></span></span><span><span>เป็นคนปรุง</span></span>	Fire does the cooking .
index.html	p.lede.hero__lede	โรงย่างเนื้อกลางเขาใหญ่ ครัวเปิดโล่ง นั่งชิดได้เลย กลิ่นถ่าน เสียงคุยเต็มร้าน ส่วนไพร์มริบ โต๊ะคุณอยากกินเท่าไหร่ เราหั่นให้เท่านั้น	A grill house in Khao Yai with an open kitchen you can sit right next to. Charcoal smoke, a loud room, and a prime rib carved to whatever weight your table actually feels like eating.
index.html	a.btn.btn--ember.btn--lg	ดูเมนู	View the menu
index.html	span	เส้นทางไปร้าน	Get directions
index.html	span	เมนู	Menu
index.html	p.way__d	39 จาน ราคาครบ รูปครบ	39 dishes, every price, every photograph
index.html	span	เตาไฟ	The Fire
index.html	p.way__d	ถ่าน ครัวเปิด คนที่ยืนอยู่หน้าเตา	Charcoal, the open kitchen, and who is working it
index.html	span	มาหาเรา	Visit
index.html	p.way__d	เราอยู่ตรงไหน เปิดกี่โมง ติดต่อยังไง	Where we are, when we are open, how to reach us
index.html	span	แนวคิด	The idea
