role	THAI (protected)
p.serif-quote	“พอครัวเริ่มยุ่ง Rabbit Grill ก็มีชีวิตขึ้นมา”
p.serif-quote	“โดยเชฟผู้เชี่ยวชาญด้านเนื้อ เชฟบัส Top Chef Thailand”
figcaption	“ทุกจานที่ดีเริ่มจากการดูแลตั้งแต่ยังดิบ”
figcaption	“ทุกรายละเอียดเริ่มจากสองมือ”
p.shead__lede.lede	สนุกตั้งแต่ทางมาแล้ว เราอยู่ที่ 339 หมู่ 11 ตำบลหนองน้ำแดง อำเภอปากช่อง พื้นที่เดียวกับ Rosebay Homecooking Cafe
figcaption	ทุกเพศทุกวัย — คำของร้านเอง
p	339 หมู่ 11 ตำบลหนองน้ำแดง<br>อำเภอปากช่อง จังหวัดนครราชสีมา
p	339 หมู่ 11 ตำบลหนองน้ำแดง<br>อำเภอปากช่อง จังหวัดนครราชสีมา 30130
a	เนื้อ
a	จานหลักจากเตา
a	ของเรียกน้ำย่อย
a	สลัด
a	เมนูตามฤดูกาล — อะโวคาโด
a	ข้าว
a	เครื่องเคียง
a	ของหวาน
a	เครื่องดื่ม
h2	มัทฉะพิเศษ
h2	นม
h2	โซดา
h2	น้ำผลไม้สด
h2	เบียร์สด
h2	เบียร์ขวดและสุรา
p.serif-quote	“โรงย่างเนื้อแห่งเขาใหญ่ ที่ยึดความคลาสสิกของการย่างแบบดั้งเดิม คัดเฉพาะเนื้อคุณภาพดี ถูกย่างด้วยไฟอย่างพิถีพิถัน”
p.serif-quote	“Rabbit Grill โรงย่างเนื้อเขาใหญ่ สไตล์ Home Cooking โดยเชฟผู้เชี่ยวชาญด้านเนื้อ เชฟบัส Top Chef Thailand”
p.hand	“มุมมองต่างกัน แต่ Rabbit Grill เดียวกัน”
p.dsp.dsp--s	339 หมู่ 11<br>ตำบลหนองน้ำแดง อำเภอปากช่อง<br>จังหวัดนครราชสีมา 30130
p.visit__flag	ที่อยู่แบบ Plus Code: JCJ3+CGF มอกระหาด หนองน้ำแดง
p.lede	เราอยู่ที่หนองน้ำแดง อำเภอปากช่อง ในเขตเขาใหญ่ ถ้าคุณกำลังเที่ยวเขาใหญ่อยู่แล้ว เราอยู่ระหว่างทาง
figcaption	339 หมู่ 11 หลังพระอาทิตย์ตก
