role	THAI (current)	ENGLISH (reference)
a.skip	ข้ามไปยังเนื้อหา	Skip to content
i	โรงย่างเนื้อ · เขาใหญ่	โรงย่างเนื้อ · Khao Yai
a	เมนู	Menu
a	เตาไฟ	The Fire
a	มาหาเรา	Visit
a.btn.nav__cta	เส้นทาง	Directions
dt	จากเคาน์เตอร์	From the counter
dt	วิธีปรุง	Method
dd	ถ่านและไฟ	Charcoal and fire
dt	ปิด	Closed
dd	ทุกวันพุธ	Every Wednesday
span	โรงย่างเนื้อ — ปากช่อง เขาใหญ่	Rabbit Grill — Pak Chong, Khao Yai
h1.dsp.dsp--xl.lines	<span><span>ให้<span class='fire'>ไฟ</span></span></span><span><span>เป็นคนปรุง</span></span>	Fire does the cooking .
p.lede.hero__lede	โรงย่างเนื้อกลางเขาใหญ่ ครัวเปิดโล่ง นั่งชิดได้เลย กลิ่นถ่าน เสียงคุยเต็มร้าน ส่วนไพร์มริบ โต๊ะคุณอยากกินเท่าไหร่ เราหั่นให้เท่านั้น	A grill house in Khao Yai with an open kitchen you can sit right next to. Charcoal smoke, a loud room, and a prime rib carved to whatever weight your table actually feels like eating.
a.btn.btn--ember.btn--lg	ดูเมนู	View the menu
span	เส้นทางไปร้าน	Get directions
p.way__d	39 จาน ราคาครบ รูปครบ	39 dishes, every price, every photograph
p.way__d	ถ่าน ครัวเปิด คนที่ยืนอยู่หน้าเตา	Charcoal, the open kitchen, and who is working it
p.way__d	เราอยู่ตรงไหน เปิดกี่โมง ติดต่อยังไง	Where we are, when we are open, how to reach us
span	แนวคิด	The idea
h2.dsp.dsp--l.lines	<span><span>เรื่องดี ๆ</span></span><span><span>มักเริ่มต้น</span></span><span><span>รอบกองไฟ</span></span>	Good things happen around fire.
p.shead__lede.lede.lede--wide	Rabbit Grill เป็นร้านอาหารย่างกลางเขาใหญ่ จานใหญ่ แบ่งกันกิน มื้อที่ไม่ต้องรีบ ที่นี่ไม่ใช่ห้องอาหารเงียบ ๆ แต่เป็นครัวที่ได้ยินเสียง ได้กลิ่น และนั่งอยู่ข้าง ๆ ได้	Rabbit Grill is a place for grilled food, generous plates and unhurried meals in Khao Yai. Not a hushed dining room — a kitchen you can hear, smell and sit beside.
cite	คำของร้านเอง — อินสตาแกรม	Rabbit Grill, in their own words — Instagram
figcaption	ครัวเปิด ตอนร้านกำลังแน่น	The open kitchen, mid-service
span	ห้องอาหาร	The room
h2.dsp.dsp--m	ขยับเข้ามาใกล้ไฟ	Pull up close to the fire.
p.shead__lede.lede	ครัวอยู่ตรงหน้า โคมทองแดงให้ความร้อน โต๊ะเต็มทั้งร้าน คนย่างยืนห่างจากโต๊ะคุณไม่กี่ก้าว	The pass is right there — copper heat lamps, a full room, and whoever is working the grill standing a few steps from your table.
figcaption	ครัวเปิด กับโต๊ะที่นั่งชิดที่สุด	The open kitchen, and the seats closest to it
